dataset_name,column_name,count,mean,median,std_dev,min,q1,q3,max,iqr,coefficient_of_variation
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_WHO_ARE_LITERATE4,111,79.8582,82.96,17.4626,-69.23,74.82,87.68,99.14,12.86,0.2187
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WHO_ARE_LITERATE4,110,87.1525,91.62,25.4397,-96.32,86.695,94.1575,100.0,7.4625,0.2919
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_WITH_10_OR_MORE_YEARS_OF_SCHOOLING,111,47.6303,49.06,16.2965,-30.77,35.44,59.82,79.78,24.38,0.3421
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WITH_10_OR_MORE_YEARS_OF_SCHOOLING,110,53.2885,56.665,21.5724,-70.1,45.12,64.48,84.92,19.36,0.4048
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_WHO_HAVE_EVER_USED_THE_INTERNET,110,43.144,44.94,21.9851,-69.18,28.015,56.38,89.99,28.365,0.5096
NFHS_5_FACTSHEETS,MEN_AGE_15_49_WHO_HAVE_EVER_USED_THE_INTERNET,110,60.0844,67.6,31.6137,-94.18,53.435,76.05,92.72,22.615,0.5262
NFHS_5_FACTSHEETS,WOMEN_AGE_20_24_YEARS_MARRIED_BEFORE_AGE_18_YEARS,110,16.4488,14.6,10.7951,-0.01,8.6275,23.215,48.13,14.5875,0.6563
NFHS_5_FACTSHEETS,MEN_AGE_25_29_YEARS_MARRIED_BEFORE_AGE_21_YEARS,97,12.5786,13.07,11.2213,-21.9,7.84,18.72,35.05,10.88,0.8921
NFHS_5_FACTSHEETS,TOTAL_FERTILITY_RATE_NUMBER_OF_CHILDREN_PER_WOMAN,110,1.7533,1.715,0.407,0.71,1.4825,1.89,3.31,0.4075,0.2321
NFHS_5_FACTSHEETS,WOMEN_AGE_15_19_YEARS_WHO_WERE_ALREADY_MOTHERS_OR_PREGNANT_AT_THE_TIME_OF_THE_SURVEY,110,5.3521,4.035,4.4981,-5.09,2.69,7.3325,24.32,4.6425,0.8404
NFHS_5_FACTSHEETS,ADOLESCENT_FERTILITY_RATE_FOR_WOMEN_AGE_15_19_YEARS5,111,32.7732,27.09,21.5186,0.0,18.64,42.95,101.91,24.31,0.6566
NFHS_5_FACTSHEETS,NEONATAL_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,98,16.0713,17.12,12.276,-22.51,10.27,23.2525,37.8,12.9825,0.7638
NFHS_5_FACTSHEETS,INFANT_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,98,23.3622,25.515,17.186,-33.33,18.04,33.5575,52.55,15.5175,0.7356
NFHS_5_FACTSHEETS,UNDER_FIVE_MORTALITY_RATE_PER_1000_LIVE_BIRTHS,98,28.2982,30.77,19.6826,-43.8,22.35,39.8675,62.49,17.5175,0.6955
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_ANY_METHOD6,110,64.4086,66.74,10.8196,25.86,60.735,71.37,77.53,10.635,0.168
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_ANY_MODERN_METHOD6,110,52.9999,54.89,12.3674,17.53,47.4725,62.02,71.09,14.5475,0.2333
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_FEMALE_STERILIZATION,110,31.3206,29.59,17.127,3.23,17.8325,43.88,70.2,26.0475,0.5468
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_MALE_STERILIZATION,110,0.3915,0.21,0.6394,0.0,0.0325,0.39,3.45,0.3575,1.6333
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_IUD_PPIUD,110,3.4241,2.44,3.4538,0.0,1.49,4.6,20.07,3.11,1.0087
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_PILL,110,6.0257,3.01,7.5384,0.06,1.745,6.85,33.04,5.105,1.251
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_CONDOM,110,10.0541,7.5,8.467,0.25,3.9725,13.995,35.41,10.0225,0.8421
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_INJECTABLES,110,0.7299,0.37,1.2189,0.0,0.14,0.68,6.18,0.54,1.67
NFHS_5_FACTSHEETS,TOTAL_UNMET_NEED_FOR_FAMILY_PLANNING_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_7,110,10.0304,9.175,4.0693,4.44,7.5175,11.5575,28.15,4.04,0.4057
NFHS_5_FACTSHEETS,UNMET_NEED_FOR_SPACING_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_7,110,4.6527,3.85,2.9962,1.05,3.08,4.81,19.52,1.73,0.644
NFHS_5_FACTSHEETS,HEALTH_WORKER_EVER_TALKED_TO_FEMALE_NON_USERS_ABOUT_FAMILY_PLANNING,110,21.4015,21.285,7.0571,5.21,17.0425,27.355,36.6,10.3125,0.3297
NFHS_5_FACTSHEETS,CURRENT_USERS_EVER_TOLD_ABOUT_SIDE_EFFECTS_OF_CURRENT_METHOD_OF_FAMILY_PLANNING8,109,51.5829,62.15,42.2572,-91.68,52.14,71.64,86.36,19.5,0.8192
NFHS_5_FACTSHEETS,MOTHERS_WHO_HAD_AN_ANTENATAL_CHECK_UP_IN_THE_FIRST_TRIMESTER_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,73.9801,74.46,11.0935,43.63,67.265,81.535,100.0,14.27,0.15
NFHS_5_FACTSHEETS,MOTHERS_WHO_HAD_AT_LEAST_4_ANTENATAL_CARE_VISITS_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,66.5957,70.115,17.425,13.06,57.365,78.845,94.84,21.48,0.2617
NFHS_5_FACTSHEETS,MOTHERS_WHOSE_LAST_BIRTH_WAS_PROTECTED_AGAINST_NEONATAL_TETANUS_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY_9,110,91.0673,91.905,4.7685,75.05,89.545,94.165,99.5,4.62,0.0524
