dataset_name,column_name,total_records,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
NFHS_5_FACTSHEETS,MEN_AGE_15_YEARS_AND_ABOVE_WIH_HIGH_141_160_MG_DL_BLOOD_SUGAR_LEVEL23,111,6.36,8.37,2.01,3.345,11.385,2,1.8
NFHS_5_FACTSHEETS,MEN_AGE_15_YEARS_AND_ABOVE_WIH_VERY_HIGH_160_MG_DL_BLOOD_SUGAR_LEVEL23,111,5.54,8.85,3.31,0.575,13.815,3,2.7
NFHS_5_FACTSHEETS,MEN_AGE_15_YEARS_AND_ABOVE_WIH_HIGH_OR_VERY_HIGH_140_MG_DL_BLOOD_SUGAR_LEVEL_OR_TAKING_MEDICINE_TO_CONTROL_BLOOD_SUGAR_LEVEL23,111,13.25,18.415,5.165,5.5025,26.1625,5,4.5
NFHS_5_FACTSHEETS,WOMEN_AGE_15_YEARS_AND_ABOVE_WIH_MILDLY_ELEVATED_BLOOD_PRESSURE_SYSTOLIC_140_159_MM_OF_HG_AND_OR_DIASTOLIC_90_99_MM_OF_HG,111,11.43,14.355,2.925,7.0425,18.7425,3,2.7
NFHS_5_FACTSHEETS,WOMEN_AGE_15_YEARS_AND_ABOVE_WIH_MODERATELY_OR_SEVERELY_ELEVATED_BLOOD_PRESSURE_SYSTOLIC_160_MM_OF_HG_AND_OR_DIASTOLIC_100_MM_OF_HG,111,4.17,6.205,2.035,1.1175,9.2575,4,3.6
NFHS_5_FACTSHEETS,WOMEN_AGE_15_YEARS_AND_ABOVE_WIH_ELEVATED_BLOOD_PRESSURE_SYSTOLIC_140_MM_OF_HG_AND_OR_DIASTOLIC_90_MM_OF_HG_OR_TAKING_MEDICINE_TO_CONTROL_BLOOD_PRESSURE,111,19.925,24.925,5.0,12.425,32.425,3,2.7
NFHS_5_FACTSHEETS,MEN_AGE_15_YEARS_AND_ABOVE_WIH_MILDLY_ELEVATED_BLOOD_PRESSURE_SYSTOLIC_140_159_MM_OF_HG_AND_OR_DIASTOLIC_90_99_MM_OF_HG,111,13.99,19.145,5.155,6.2575,26.8775,1,0.9
NFHS_5_FACTSHEETS,MEN_AGE_15_YEARS_AND_ABOVE_WIH_MODERATELY_OR_SEVERELY_ELEVATED_BLOOD_PRESSURE_SYSTOLIC_160_MM_OF_HG_AND_OR_DIASTOLIC_100_MM_OF_HG,111,4.72,7.525,2.805,0.5125,11.7325,4,3.6
NFHS_5_FACTSHEETS,MEN_AGE_15_YEARS_AND_ABOVE_WIH_ELEVATED_BLOOD_PRESSURE_SYSTOLIC_140_MM_OF_HG_AND_OR_DIASTOLIC_90_MM_OF_HG_OR_TAKING_MEDICINE_TO_CONTROL_BLOOD_PRESSURE,111,21.26,30.46,9.2,7.46,44.26,1,0.9
NFHS_5_FACTSHEETS,WOMEN_AGE_30_49_YEARS_EVER_UNDERGONE_A_SCREENING_TEST_FOR_CERVICAL_CANCER,110,0.4625,2.215,1.7525,-2.1663,4.8438,8,7.27
NFHS_5_FACTSHEETS,WOMEN_AGE_30_49_YEARS_EVER_UNDERGONE_A_BREAST_EXAMINATION_FOR_BREAST_CANCER,110,0.195,0.8175,0.6225,-0.7388,1.7513,13,11.82
NFHS_5_FACTSHEETS,WOMEN_AGE_30_49_YEARS_EVER_UNDERGONE_AN_ORAL_CAVITY_EXAMINATION_FOR_ORAL_CANCER,110,0.26,0.91,0.65,-0.715,1.885,11,10.0
NFHS_5_FACTSHEETS,MEN_AGE_30_49_YEARS_EVER_UNDERGONE_AN_ORAL_CAVITY_EXAMINATION_FOR_ORAL_CANCER,107,0.33,1.215,0.885,-0.9975,2.5425,14,13.08
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_YEARS_WHO_HAVE_COMPREHENSIVE_KNOWLEDGE24_OF_HIV_AIDS,109,18.31,30.23,11.92,0.43,48.11,10,9.17
NFHS_5_FACTSHEETS,MEN_AGE_15_49_YEARS_WHO_HAVE_COMPREHENSIVE_KNOWLEDGE24_OF_HIV_AIDS,110,26.3625,40.7375,14.375,4.8,62.3,9,8.18
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_YEARS_WHO_KNOW_THAT_CONSISTENT_CONDOM_USE_CAN_REDUCE_THE_CHANCE_OF_GETTING_HIV_AIDS,110,64.61,76.28,11.67,47.105,93.785,3,2.73
NFHS_5_FACTSHEETS,MEN_AGE_15_49_YEARS_WHO_KNOW_THAT_CONSISTENT_CONDOM_USE_CAN_REDUCE_THE_CHANCE_OF_GETTING_HIV_AIDS,110,78.5525,89.545,10.9925,62.0638,106.0337,4,3.64
NFHS_5_FACTSHEETS,CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_WHO_USUALLY_PARTICIPATE_IN_THREE_HOUSEHOLD_DECISIONS25,109,87.43,93.88,6.45,77.755,103.555,3,2.75
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_YEARS_WHO_WORKED_IN_THE_LAST_12_MONTHS_AND_WERE_PAID_IN_CASH,110,20.155,34.5075,14.3525,-1.3737,56.0362,2,1.82
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_YEARS_OWNING_A_HOUSE_AND_OR_LAND_ALONE_OR_JOINTLY_WITH_OTHERS,110,25.1825,55.575,30.3925,-20.4063,101.1638,2,1.82
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_YEARS_HAVING_A_BANK_OR_SAVINGS_ACCOUNT_THAT_THEY_THEMSELVES_USE,110,76.03,85.18,9.15,62.305,98.905,3,2.73
NFHS_5_FACTSHEETS,WOMEN_AGE_15_49_YEARS_HAVING_A_MOBILE_PHONE_THAT_THEY_THEMSELVES_USE,110,50.79,79.185,28.395,8.1975,121.7775,2,1.82
NFHS_5_FACTSHEETS,WOMEN_AGE_15_24_YEARS_WHO_USE_HYGIENIC_METHODS_OF_PROTECTION_DURING_THEIR_MENSTRUAL_PERIOD26,110,79.5075,93.495,13.9875,58.5262,114.4763,2,1.82
NFHS_5_FACTSHEETS,EVER_MARRIED_WOMEN_AGE_18_49_YEARS_WHO_HAVE_EVER_EXPERIENCED_SPOUSAL_VIOLENCE27,109,11.4,30.51,19.11,-17.265,59.175,0,0.0
NFHS_5_FACTSHEETS,EVER_MARRIED_WOMEN_AGE_18_49_YEARS_WHO_HAVE_EXPERIENCED_PHYSICAL_VIOLENCE_DURING_ANY_PREGNANCY,109,1.05,3.13,2.08,-2.07,6.25,2,1.83
NFHS_5_FACTSHEETS,YOUNG_WOMEN_AGE_18_29_YEARS_WHO_EXPERIENCED_SEXUAL_VIOLENCE_BY_AGE_18,106,0.71,4.875,4.165,-5.5375,11.1225,2,1.89
NFHS_5_FACTSHEETS,WOMEN_AGE_15_YEARS_AND_ABOVE_WHO_USE_ANY_KIND_OF_TOBACCO,111,2.975,15.475,12.5,-15.775,34.225,10,9.01
NFHS_5_FACTSHEETS,MEN_AGE_15_YEARS_AND_ABOVE_WHO_USE_ANY_KIND_OF_TOBACCO,111,26.185,47.475,21.29,-5.75,79.41,1,0.9
NFHS_5_FACTSHEETS,WOMEN_AGE_15_YEARS_AND_ABOVE_WHO_CONSUME_ALCOHOL,111,0.33,2.265,1.935,-2.5725,5.1675,20,18.02
NFHS_5_FACTSHEETS,MEN_AGE_15_YEARS_AND_ABOVE_WHO_CONSUME_ALCOHOL,111,16.525,31.145,14.62,-5.405,53.075,2,1.8
RS_SESSION_262,NOS_OF_OUTBREAKS,65,1.0,8.0,7.0,-9.5,18.5,9,13.85
TOURISM_STATISTICS,NUMBER_OF_ARRIVALS_2017,82,25447.25,241058.0,215610.75,-297968.875,564474.125,9,10.98
TOURISM_STATISTICS,NUMBER_OF_ARRIVALS_2018,82,29003.0,255298.75,226295.75,-310440.625,594742.375,9,10.98
TOURISM_STATISTICS,NUMBER_OF_ARRIVALS_2019,83,28823.0,243070.5,214247.5,-292548.25,564441.75,9,10.84
TOURISM_STATISTICS,NUMBER_OF_ARRIVALS_2020,82,8132.0,51517.25,43385.25,-56945.875,116595.125,11,13.41
TOURISM_STATISTICS,NUMBER_OF_ARRIVALS_2021,83,2373.5,27829.0,25455.5,-35809.75,66012.25,9,10.84
TOURISM_STATISTICS,PERCENTAGE_SHARE_2018_17,82,1.175,9.725,8.55,-11.65,22.55,9,10.98
TOURISM_STATISTICS,PERCENTAGE_SHARE_2019_18,82,-3.2,6.725,9.925,-18.0875,21.6125,5,6.1
TOURISM_STATISTICS,PERCENTAGE_SHARE_2020_19,82,-77.375,-70.9,6.475,-87.0875,-61.1875,4,4.88
TOURISM_STATISTICS,PERCENTAGE_CHANGE_2021_20,82,-73.975,-42.9,31.075,-120.5875,3.7125,6,7.32
TOURISM_STATISTICS,PERCENTAGE_CHANGE_2021,82,0.16,1.86,1.7,-2.39,4.41,9,10.98
