dataset_name,column_name,total_records,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percentage
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_FEMALE_STERILIZATION,110,17.8325,43.88,26.0475,-21.2387,82.9512,0,0.0
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_MALE_STERILIZATION,110,0.0325,0.39,0.3575,-0.5038,0.9263,10,9.09
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_IUD_PPIUD,110,1.49,4.6,3.11,-3.175,9.265,4,3.64
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_PILL,110,1.745,6.85,5.105,-5.9125,14.5075,14,12.73
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_CONDOM,110,3.9725,13.995,10.0225,-11.0613,29.0288,4,3.64
NFHS_5_FACTSHEETS,CURRENT_USE_OF_FAMILY_PLANNING_METHODS_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_INJECTABLES,110,0.14,0.68,0.54,-0.67,1.49,10,9.09
NFHS_5_FACTSHEETS,TOTAL_UNMET_NEED_FOR_FAMILY_PLANNING_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_7,110,7.5175,11.5575,4.04,1.4575,17.6175,7,6.36
NFHS_5_FACTSHEETS,UNMET_NEED_FOR_SPACING_CURRENTLY_MARRIED_WOMEN_AGE_15_49_YEARS_7,110,3.08,4.81,1.73,0.485,7.405,11,10.0
NFHS_5_FACTSHEETS,HEALTH_WORKER_EVER_TALKED_TO_FEMALE_NON_USERS_ABOUT_FAMILY_PLANNING,110,17.0425,27.355,10.3125,1.5737,42.8238,0,0.0
NFHS_5_FACTSHEETS,CURRENT_USERS_EVER_TOLD_ABOUT_SIDE_EFFECTS_OF_CURRENT_METHOD_OF_FAMILY_PLANNING8,109,52.14,71.64,19.5,22.89,100.89,9,8.26
NFHS_5_FACTSHEETS,MOTHERS_WHO_HAD_AN_ANTENATAL_CHECK_UP_IN_THE_FIRST_TRIMESTER_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,67.265,81.535,14.27,45.86,102.94,1,0.91
NFHS_5_FACTSHEETS,MOTHERS_WHO_HAD_AT_LEAST_4_ANTENATAL_CARE_VISITS_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,57.365,78.845,21.48,25.145,111.065,3,2.73
NFHS_5_FACTSHEETS,MOTHERS_WHOSE_LAST_BIRTH_WAS_PROTECTED_AGAINST_NEONATAL_TETANUS_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY_9,110,89.545,94.165,4.62,82.615,101.095,10,9.09
NFHS_5_FACTSHEETS,MOTHERS_WHO_CONSUMED_IRON_FOLIC_ACID_FOR_100_DAYS_OR_MORE_WHEN_THEY_WERE_PREGNANT_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,40.3575,67.0225,26.665,0.36,107.02,0,0.0
NFHS_5_FACTSHEETS,MOTHERS_WHO_CONSUMED_IRON_FOLIC_ACID_FOR_180_DAYS_OR_MORE_WHEN_THEY_WERE_PREGNANT_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,17.035,42.55,25.515,-21.2375,80.8225,0,0.0
NFHS_5_FACTSHEETS,REGISTERED_PREGNANCIES_FOR_WHICH_THE_MOTHER_RECEIVED_A_MOTHER_AND_CHILD_PROTECTION_MCP_CARD_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,94.1975,98.1375,3.94,88.2875,104.0475,8,7.27
NFHS_5_FACTSHEETS,MOTHERS_WHO_RECEIVED_POSTNATAL_CARE_FROM_A_DOCTOR_NURSE_LHV_ANM_MIDWIFE_OTHER_HEALTH_PERSONNEL_WITHIN_2_DAYS_OF_DELIVERY_FOR_LAST_BIRTH_IN_THE_5_YEARS_BEFORE_THE_SURVEY,110,73.59,90.2525,16.6625,48.5963,115.2462,4,3.64
