dataset_name,region,country,period,start_value,end_value,absolute_change,percentage_growth
TOURISM_STATISTICS,Western Europe,Switzerland,2017 -> 2018,49607.0,49322.0,-285.0,-0.57
TOURISM_STATISTICS,Western Europe,U.K.,2017 -> 2018,986296.0,1029757.0,43461.0,4.41
TOURISM_STATISTICS,Western Europe,Others,2017 -> 2018,6492.0,15393.0,8901.0,137.11
TOURISM_STATISTICS,Western Europe,Total,2017 -> 2018,2136673.0,2243635.0,106962.0,5.01
TOURISM_STATISTICS,Eastern Europe,Czech Rep.,2017 -> 2018,11852.0,13413.0,1561.0,13.17
TOURISM_STATISTICS,Eastern Europe,Hungary,2017 -> 2018,9241.0,9201.0,-40.0,-0.43
TOURISM_STATISTICS,Eastern Europe,Kazakhstan,2017 -> 2018,15421.0,13314.0,-2107.0,-13.66
TOURISM_STATISTICS,Eastern Europe,Poland,2017 -> 2018,28674.0,31555.0,2881.0,10.05
TOURISM_STATISTICS,Eastern Europe,Russian Fed.,2017 -> 2018,278904.0,262309.0,-16595.0,-5.95
TOURISM_STATISTICS,Eastern Europe,Ukraine,2017 -> 2018,25988.0,26260.0,272.0,1.05
TOURISM_STATISTICS,Eastern Europe,Others,2017 -> 2018,102792.0,109997.0,7205.0,7.01
TOURISM_STATISTICS,Eastern Europe,Total,2017 -> 2018,472872.0,466049.0,-6823.0,-1.44
TOURISM_STATISTICS,Africa,Egypt,2017 -> 2018,20528.0,20486.0,-42.0,-0.2
TOURISM_STATISTICS,Africa,Kenya,2017 -> 2018,46011.0,48845.0,2834.0,6.16
TOURISM_STATISTICS,Africa,Mauritius,2017 -> 2018,37706.0,42096.0,4390.0,11.64
TOURISM_STATISTICS,Africa,Nigeria,2017 -> 2018,12651.0,12067.0,-584.0,-4.62
TOURISM_STATISTICS,Africa,South Africa,2017 -> 2018,57060.0,58613.0,1553.0,2.72
TOURISM_STATISTICS,Africa,Sudan,2017 -> 2018,22762.0,34712.0,11950.0,52.5
TOURISM_STATISTICS,Africa,Tanzania,2017 -> 2018,22261.0,23443.0,1182.0,5.31
TOURISM_STATISTICS,Africa,Others,2017 -> 2018,99044.0,110936.0,11892.0,12.01
TOURISM_STATISTICS,Africa,Total,2017 -> 2018,318023.0,351198.0,33175.0,10.43
TOURISM_STATISTICS,West Asia,Bahrain,2017 -> 2018,16764.0,13915.0,-2849.0,-16.99
TOURISM_STATISTICS,West Asia,Iraq,2017 -> 2018,56230.0,68462.0,12232.0,21.75
TOURISM_STATISTICS,West Asia,Israel,2017 -> 2018,58131.0,67366.0,9235.0,15.89
TOURISM_STATISTICS,West Asia,Oman,2017 -> 2018,107217.0,95160.0,-12057.0,-11.25
TOURISM_STATISTICS,West Asia,Saudi Arabia,2017 -> 2018,52976.0,47546.0,-5430.0,-10.25
TOURISM_STATISTICS,West Asia,Turkey,2017 -> 2018,33251.0,33825.0,574.0,1.73
TOURISM_STATISTICS,West Asia,U.A.E.,2017 -> 2018,67238.0,59971.0,-7267.0,-10.81
TOURISM_STATISTICS,West Asia,Yemen Arab Rep.,2017 -> 2018,21695.0,21674.0,-21.0,-0.1
TOURISM_STATISTICS,West Asia,Others,2017 -> 2018,44258.0,41629.0,-2629.0,-5.94
TOURISM_STATISTICS,West Asia,Total,2017 -> 2018,447760.0,449548.0,1788.0,0.4
TOURISM_STATISTICS,South Asia,Afghanistan,2017 -> 2018,149176.0,153905.0,4729.0,3.17
TOURISM_STATISTICS,South Asia,Bangladesh,2017 -> 2018,2156557.0,2256675.0,100118.0,4.64
