A_1_NUMBER_OF_VILLAGES_TOWNS_HOUSEHOLDS_POPULATION_AND_AREA,COLUMN_2,COLUMN_3,COLUMN_4,COLUMN_5,COLUMN_6,COLUMN_7,COLUMN_8,COLUMN_9,COLUMN_10,COLUMN_11,COLUMN_12,COLUMN_13,COLUMN_14,COLUMN_15
,,,India/ State/ Union Territory/ District/ Sub-district,Name,"Total/
Rural/
Urban",,,,,,,,,
,,,,,,,,,,,,,,
1.0,5.0,16.0,SUB-DISTRICT,Haveli,Urban,0.0,0.0,1.0,4943.0,26854.0,16063.0,10791.0,10.36,2592.0
1.0,5.0,17.0,SUB-DISTRICT,Mandi,Total,37.0,0.0,0.0,16313.0,77947.0,41365.0,36582.0,196.28,397.0
1.0,5.0,17.0,SUB-DISTRICT,Mandi,Rural,37.0,0.0,0.0,16313.0,77947.0,41365.0,36582.0,196.28,397.0
1.0,5.0,17.0,SUB-DISTRICT,Mandi,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,18.0,SUB-DISTRICT,Mendhar,Total,51.0,5.0,1.0,25334.0,141366.0,73297.0,68069.0,424.69,333.0
1.0,5.0,18.0,SUB-DISTRICT,Mendhar,Rural,51.0,5.0,0.0,24428.0,136333.0,70776.0,65557.0,415.84,328.0
1.0,5.0,18.0,SUB-DISTRICT,Mendhar,Urban,0.0,0.0,1.0,906.0,5033.0,2521.0,2512.0,8.85,569.0
1.0,5.0,19.0,SUB-DISTRICT,Surankote,Total,33.0,1.0,1.0,23056.0,124755.0,65699.0,59056.0,250.23,499.0
1.0,5.0,19.0,SUB-DISTRICT,Surankote,Rural,33.0,1.0,0.0,21689.0,118012.0,62158.0,55854.0,245.36,481.0
1.0,5.0,19.0,SUB-DISTRICT,Surankote,Urban,0.0,0.0,1.0,1367.0,6743.0,3541.0,3202.0,4.87,1385.0
1.0,6.0,0.0,DISTRICT,Rajouri,Total,375.0,10.0,4.0,130401.0,642415.0,345351.0,297064.0,2630.0,244.0
1.0,6.0,0.0,DISTRICT,Rajouri,Rural,375.0,10.0,0.0,122645.0,590101.0,310748.0,279353.0,2608.11,226.0
1.0,6.0,0.0,DISTRICT,Rajouri,Urban,0.0,0.0,4.0,7756.0,52314.0,34603.0,17711.0,21.89,2390.0
1.0,6.0,20.0,SUB-DISTRICT,Thanamandi,Total,32.0,0.0,1.0,13644.0,67773.0,35472.0,32301.0,148.69,456.0
1.0,6.0,20.0,SUB-DISTRICT,Thanamandi,Rural,32.0,0.0,0.0,12673.0,62283.0,32373.0,29910.0,144.51,431.0
1.0,6.0,20.0,SUB-DISTRICT,Thanamandi,Urban,0.0,0.0,1.0,971.0,5490.0,3099.0,2391.0,4.18,1313.0
1.0,6.0,21.0,SUB-DISTRICT,Darhal,Total,11.0,1.0,0.0,7612.0,36227.0,19121.0,17106.0,80.3,451.0
